from,to,relation,awardyear,deathyear
dala,b50,2,2019,
haau,dala,3,2019,
haau,b50,2,2019,
alce,lust,3,2019,
alce,toli,3,2019,
alce,b43,1,2019,
dala,b44,1,2019,
haau,b45,1,2019,
lust,toli,3,2019,
lust,b43,1,2019,
toli,b43,1,2019,
begu,frde,3,2018,
begu,hemi,3,2018,
begu,b47,1,2018,
frde,hemi,3,2018,
frde,b47,1,2018,
hemi,b47,1,2018,
kahi,kena,3,2018,
kahi,b28,1,2018,
kena,b28,1,2018,
maho,zdha,3,2018,
maho,b39,1,2018,
uest,b47,2,2017,
zdha,b39,1,2018,
disi,b10,1,2016,
dmgo,seni,3,2017,
dmgo,dmgr,3,2017,
dmgo,b33,1,2017,
dmgr,dmgo,3,2017,
dmgr,seni,3,2017,
dmgr,b33,1,2017,
kyde,b07,2,2016,
nibu,para,3,2017,
nibu,b48,1,2017,
para,b48,1,2017,
seni,b33,1,2017,
anmo,libi,3,2016,
anmo,disi,3,2016,
anmo,jesu,3,2016,
anmo,b10,1,2016,
disi,libi,3,2016,
disi,jesu,3,2016,
hake,mapr,3,2016,
hake,mape,3,2016,
hake,urno,3,2016,
hake,b09,1,2016,
jesu,libi,3,2016,
jesu,b10,1,2016,
keta,b54,2,2015,
libi,b10,1,2016,
mape,mapr,3,2016,
mape,urno,3,2016,
mape,b09,1,2016,
mapr,urno,3,2016,
mapr,b09,1,2016,
mifo,para,3,2016,
mifo,b11,1,2016,
myba,b13,1,2016,
myfo,myba,3,2016,
myfo,b13,1,2016,
para,b11,1,2016,
urno,b09,1,2016,
alce,luli,3,2015,
alce,mapr,3,2015,
alce,b12,1,2015,
algu,allo,3,2015,
algu,b14,1,2015,
alho,toca,3,2015,
alho,b15,1,2015,
allo,b14,1,2015,
luli,b12,1,2015,
luli,mapr,3,2015,
mapr,b12,1,2015,
toca,b15,1,2015,
grzi,maal,3,2014,
grzi,b04,1,2014,
haau,maau,3,2014,
haau,sian,3,2014,
haau,b01,1,2014,
iawe,rasl,3,2014,
iawe,b02,1,2014,
maal,b04,1,2014,
maau,sian,3,2014,
maau,b01,1,2014,
maho,zdhr,3,2014,
maho,b13,1,2014,
